source	target
MYC	TSEN34
MYC	DCTN1
MYC	MBOAT7
MYC	C1orf194
MYC	EIF5A
MYC	SERPINB6
MYC	NCOR2
MYC	TPI1
MYC	MIR6865
MYC	MIR3188
MYC	WDR45
MYC	SNX33
MYC	ATP6V0B
MYC	HEXIM2
MYC	KIAA1324
MYC	SNORD42B
MYC	KAZALD1
MYC	AKT1S1
MYC	MIR6879
MYC	ZNF646
MYC	ZNF668
MYC	PPOX
MYC	DCDC2B
MYC	JUND
MYC	PNPLA2
MYC	RPL23A
MYC	TBC1D17
MYC	LAT
MYC	COL1A1
MYC	CENPB
MYC	SERF2-C15ORF63
MYC	UNC45A
MYC	NOXO1
MYC	LDB1
MYC	MRPL53
MYC	CCDC137
MYC	OXLD1
MYC	MBLAC1
MYC	PCOLCE-AS1
MYC	MAP4K2
MYC	HYAL2
MYC	KIAA0895L
MYC	MRPS23
MYC	DNM1
MYC	ODF3L1
MYC	TBX6
MYC	SPSB2
MYC	ASB16-AS1
MYC	ZBTB45
MYC	TMUB2
MYC	GNAI2
MYC	OGFR
MYC	JTB
MYC	LOC115110
MYC	USP5
MYC	GDF15
MYC	PRRT3
MYC	RAB13
MYC	ZKSCAN5
MYC	KLHL22
MYC	MMD
MYC	MIR4738
MYC	MIR3189
MYC	TCF3
MYC	TAF6
MYC	UNK
MYC	CNPY4
MYC	SSRP1
MYC	TMEM109
MYC	CDCA3
MYC	UFSP1
MYC	SMCR9
MYC	IPO4
MYC	INO80B
MYC	INO80B-WBP1
MYC	TINF2
MYC	UBL5
MYC	SRRT
MYC	GRK6
MYC	B4GALT2
MYC	GABARAP
MYC	DVL3
MYC	LSM4
MYC	WBP1
MYC	GMPPA
MYC	OGFR-AS1
MYC	IRF3
MYC	BCL3
MYC	FAM50A
MYC	AP5S1
MYC	HNRNPF
MYC	GALT
MYC	TMED4
MYC	GPS2
MYC	FGF22
MYC	BCL2L12
MYC	PCOLCE
MYC	MIR1282
MYC	RASSF1
MYC	UFC1
MYC	SAMD10
MYC	GFER
MYC	RASSF1-AS1
MYC	TRIM47
MYC	ZNF517
MYC	FLNA
MYC	ARID3A
MYC	MIR6883
MYC	TNPO2
MYC	MIR5787
MYC	DPH2
MYC	TNKS1BP1
MYC	GDI1
MYC	RPL8
MYC	MIR5695
MYC	CCDC28B
MYC	P4HB
MYC	C17orf53
MYC	KLF2
MYC	RAB34
MYC	C1orf86
MYC	CDK10
MYC	CTNS
MYC	MIR6850
MYC	BLOC1S4
MYC	C2CD2L
MYC	ZNF394
MYC	ECSIT
MYC	SHPK
MYC	CDC42EP4
MYC	P2RX3
MYC	ATP5I
MYC	C16orf59
MYC	SYCE2
MYC	S1PR2
MYC	NARR
MYC	RNU12
MYC	ARHGEF39
MYC	PRAF2
MYC	GNA15
MYC	MIR4513
MYC	SFN
MYC	SLC39A13
MYC	SIAH1
MYC	FAM212A
MYC	EIF4A1
MYC	POLDIP3
MYC	TNFRSF14
MYC	PNKP
MYC	C5AR1
MYC	YPEL3
MYC	PLP2
MYC	EIF1
MYC	LSM2
MYC	OCEL1
MYC	SIGMAR1
MYC	DAGLA
MYC	CLDN7
MYC	SIPA1
MYC	HR
MYC	CARD9
MYC	NFIC
MYC	SH3BP2
MYC	PRPF6
MYC	HMG20B
MYC	YBX2
MYC	PSMC3
MYC	CEND1
MYC	PSME1
MYC	POLR2G
MYC	TRIP6
MYC	MIR6875
MYC	MIR4322
MYC	MIR4658
MYC	ANKRD13B
MYC	IMP3
MYC	PRR7-AS1
MYC	ATPAF2
MYC	GID4
MYC	TRAF2
MYC	OGDH
MYC	PHF23
MYC	SPNS1
MYC	CASC3
MYC	CAMK1
MYC	PHPT1
MYC	PRR7
MYC	SLC10A3
MYC	TNNT1
MYC	SNORA48
MYC	MIR639
MYC	MRPL4
MYC	TECR
MYC	ZNF446
MYC	CAMTA2
MYC	LOC100996693
MYC	AP1S1
MYC	OSBP2
MYC	MIR4479
MYC	SNX15
MYC	LOC100133445
MYC	VPS11
MYC	SLC23A3
MYC	ATXN7L3
MYC	DCTN1-AS1
MYC	AGTRAP
MYC	CCDC107
MYC	LPPR2
MYC	RMRP
MYC	KIAA1683
MYC	ZBTB7A
MYC	ZFAND2B
MYC	FSTL3
MYC	SLC2A4
MYC	CNPPD1
MYC	FAM3A
MYC	MOSPD3
MYC	RIN1
MYC	ZNF623
MYC	PSCA
MYC	RAB3D
MYC	MSRB1
MYC	MCM7
MYC	ESD
MYC	EDF1
MYC	MRFAP1L1
MYC	SLC39A1
MYC	EMC9
MYC	CREB3L4
MYC	IL11RA
MYC	C7orf43
MYC	PLXNA3
MYC	PRR24
MYC	PYY
MYC	NAGS
MYC	RPS27
MYC	SIRT7
MYC	CSK
MYC	PFKFB3
MYC	TEF
MYC	HSD17B1
MYC	SYT7
MYC	DCAF11
MYC	AGRN
MYC	PCBP2
MYC	MIR6858
MYC	AP4M1
MYC	MIR6786
MYC	MFSD12
MYC	TBC1D22A
MYC	EXOC3L1
MYC	BATF2
MYC	ICAM5
MYC	PSMC3IP
MYC	PRMT1
MYC	TEAD4
MYC	TUBA4B
MYC	ANK1
MYC	ADAMTS14
MYC	SHARPIN
MYC	ABCB9
MYC	ISG15
MYC	MAF1
MYC	HILS1
MYC	RPS9
MYC	LAGE3
MYC	ICAM4
MYC	MIR4489
MYC	LTBP4
MYC	USE1
MYC	MRGBP
MYC	MAMDC4
MYC	SPEF1
MYC	TUBA4A
MYC	NFKBIL1
MYC	THRA
MYC	FTSJ3
MYC	PSMC5
MYC	TAF6L
MYC	FHOD3
MYC	LETMD1
MYC	MEN1
MYC	MIR6867
MYC	E2F4
MYC	YWHAG
MYC	TP53I13
MYC	PLK3
MYC	SPATA2L
MYC	MRPL12
MYC	LENG1
MYC	CDT1
MYC	FAM134A
MYC	DPM2
MYC	SNORD10
MYC	NAT6
MYC	PLTP
MYC	UBL4A
MYC	HYAL3
MYC	MAPK12
MYC	COPS6
MYC	FAM132B
MYC	HDAC10
MYC	DCTPP1
MYC	MIR4690
MYC	LOC100507459
MYC	EFCAB4A
MYC	CATSPERG
MYC	CA9
MYC	MIR4754
MYC	OGFOD2
MYC	PTRH1
MYC	ANKRD11
MYC	ZNF34
MYC	SOX12
MYC	MIR5193
MYC	ARL10
MYC	ATP6V1G2
MYC	ATP6V1G2-DDX39B
MYC	ZBTB3
MYC	G6PD
MYC	ANKRD33B
MYC	RPS5
MYC	MIR7703
MYC	C9orf78
MYC	MIR647
MYC	USP20
MYC	ABHD17A
MYC	GATSL3
MYC	IKBKG
MYC	SMAGP
MYC	HSP90AB1
MYC	ACSL3
MYC	GLI4
MYC	DOK3
MYC	GLB1L
MYC	TTC16
MYC	SERINC4
MYC	NHEJ1
MYC	PANK4
MYC	SNORA67
MYC	MIR3155B
MYC	SLC7A6
MYC	LINC01011
MYC	MIR106B
MYC	MIR93
MYC	CD151
MYC	UBE2J2
MYC	MIR25
MYC	MIR3155A
MYC	ADAMTSL4
MYC	LLGL1
MYC	HYPK
MYC	KIF1C
MYC	SNRPD2
MYC	QPCTL
MYC	INCA1
MYC	ZNF324
MYC	RPS16
MYC	MTMR9LP
MYC	C12orf73
MYC	CNIH4
MYC	STK16
MYC	SLC35B2
MYC	SHKBP1
MYC	SDF4
MYC	PNP
MYC	B3GALT6
MYC	PRPF19
MYC	VAC14-AS1
MYC	SGCA
MYC	LINC00910
MYC	PYCR1
MYC	MYL5
MYC	RTKN
MYC	CARM1
MYC	FLYWCH1
MYC	TMEM55B
MYC	RNU11
MYC	PTPRU
MYC	QRICH1
MYC	MIR200C
MYC	PRR13
MYC	LACTB
MYC	HES5
MYC	DDX41
MYC	RNF181
MYC	FIS1
MYC	TCTEX1D4
MYC	MTX1
MYC	CDHR4
MYC	PRSS53
MYC	NDOR1
MYC	TMEM203
MYC	KISS1R
MYC	MIR6782
MYC	COQ4
MYC	SLAIN2
MYC	C20orf27
MYC	TRUB2
MYC	PTPRH
MYC	ZDHHC18
MYC	IFRD2
MYC	BRMS1
MYC	C19orf43
MYC	SNHG16
MYC	MKNK2
MYC	BCAR1
MYC	FITM1
MYC	CD68
MYC	CTSB
MYC	B4GALT3
MYC	MIR141
MYC	CCDC9
MYC	MIR4647
MYC	MIR4653
MYC	MIR6732
MYC	TOR1A
MYC	HYAL1
MYC	ATP6AP1
MYC	ALKBH7
MYC	DCTN3
MYC	LOC158960
MYC	ZNF837
MYC	PLEKHA2
MYC	EFEMP2
MYC	RPL29
MYC	ING5
MYC	ZMYND10
MYC	SNORA71A
MYC	TTC31
MYC	DVL1
MYC	BSCL2
MYC	ENO3
MYC	R3HDM4
MYC	ATP5E
MYC	NFATC2IP
MYC	DNLZ
